Unnamed: 0,gloss,week_of_year_sin,week_of_year_cos,days_since_last_cleaning,collector_pos_x,collector_pos_y,collector_pos_loop,irradiance,cumul_irradiance,focus,dumping,collector_temperature,wind_u_avg,wind_v_avg,wind_hours_above_thres,wind_hours_since_thres,sca_angle_wind,diff_dew_amb_avg,dew_hours_under_thres,dew_hours_since_thres,sca_angle_dew,precip_avg,precip_max,precip_hours_above_thres,precip_hours_since_thres,sca_angle_precip,precip_dry_hours,precip_hours_since_dry_period,sca_angle_dry,pm10_avg,ESTIMATED_SOILING_LOSS_PERCENT
1751,98.7,-0.2393156642875586,0.9709418174260518,1.0601157407407409,19,3,1,325.95984256432047,29460.69756423676,0.7092214504607854,0.0,229.69165828812737,-3.030649203834352,1.8763927760245829,1.4666666666666666,1.5605555555555557,98.34578203914144,2.4197127835188947,20.65277777777778,0.0022222222222222,113.33686626052086,0.0,0.0,0,25.442777777777778,0.0,24,0.0,78.38789139879948,8.757488956234738e-09,-3.1781046343201105
1752,99.3,-0.2393156642875586,0.9709418174260518,1.061215277777778,27,4,2,325.95984256432047,29460.69756423676,0.7090373732812466,6.171487225794497e-06,249.226973552467,-3.0307784700283267,1.876199653719293,1.4666666666666666,1.586111111111111,98.35654395517676,2.4201751718577404,20.68055555555556,0.0,113.05773205267174,0.0,0.0,0,25.469166666666663,0.0,24,0.0,78.31865260948973,8.757488956234738e-09,-3.8053271548934795
1753,98.3,-0.2393156642875586,0.9709418174260518,1.0710185185185186,28,4,3,325.95984256432047,29460.69756423676,0.7328190852387052,0.0228472318922896,266.52700760425347,-3.044902692996558,1.8749717066671427,1.5,1.5902777777777777,88.27840711805555,2.429761995135611,20.916666666666668,0.0013888888888888,26.17363649244169,0.0,0.0,0,25.704444444444444,0.0,24,0.0,84.40469473013377,8.757488956234738e-09,-2.7599562872711885
1754,99.16666666666669,-0.2393156642875586,0.9709418174260518,1.0714930555555555,28,3,4,325.95984256432047,29460.69756423676,0.735172639547022,0.1082222088045175,282.48223403946326,-3.045024353938875,1.87478906127973,1.5,1.6011111111111112,88.28056520061732,2.429934201786691,20.927777777777777,0.0011111111111111,26.232928151926547,0.0,0.0,0,25.71583333333333,0.0,24,0.0,84.37640505882204,8.757488956234738e-09,-3.6659443725438634
1755,99.0,-0.2393156642875586,0.9709418174260518,1.0619444444444446,27,3,1,325.95984256432047,29460.69756423676,0.7184023589087704,0.0,229.59388212675253,-3.031014820935678,1.875965763771364,1.4666666666666666,1.6044444444444443,98.38191485164144,2.420441861702378,20.697222222222223,0.0016666666666666,112.89464550763228,0.0,0.0,0,25.486666666666668,0.0,24,0.0,78.30949578441385,8.757488956234738e-09,-3.491715894606795
1756,99.05,-0.2393156642875586,0.9709418174260518,1.0621643518518518,37,4,2,325.95984256432047,29460.69756423676,0.7255863383799596,0.0,247.9846447422421,-3.030998338745544,1.875912927260461,1.4666666666666666,1.6091666666666666,98.43358388573232,2.420527773456625,20.70277777777778,0.0008333333333333,118.6724528808266,0.0,0.0,0,25.49194444444445,0.0,24,0.0,118.70940618224752,8.757488956234738e-09,-3.5439844379879064
1757,95.85,-0.2393156642875586,0.9709418174260518,1.0728125000000002,38,4,3,325.95984256432047,29460.69756423676,0.7569217582952913,0.0,264.11567886465554,-3.045216995622862,1.874586106566746,1.5,1.6333333333333333,88.49901138117286,2.430426393221441,20.961111111111112,0.0,20.64999393288223,0.0,0.0,0,25.7475,0.0,24,0.0,44.09006240221378,8.757488956234738e-09,-0.19879766159657286
1758,95.55,-0.2393156642875586,0.9709418174260518,1.0730092592592595,38,3,4,325.95984256432047,29460.69756423676,0.6995202515128286,0.0773050600882004,277.74229204346386,-3.045236411645313,1.8745827391490733,1.5,1.6375,88.82767650462965,2.4304667229243493,20.96388888888889,0.0013888888888888,20.65230094910005,0.0,0.0,0,25.752222222222223,0.0,24,0.0,44.22407013105444,8.757488956234738e-09,0.11481359869011142
1759,96.5,-0.2393156642875586,0.9709418174260518,1.0642013888888888,37,3,1,325.95984256432047,29460.69756423676,0.7425471320382022,0.0,230.6915991569925,-3.031462623620829,1.8756565389608697,1.4666666666666666,1.658611111111111,98.6029533617424,2.421278200245182,20.752777777777776,0.0002777777777777,119.4894755489455,0.0,0.0,0,25.54083333333333,0.0,24,0.0,119.38961382666032,8.757488956234738e-09,-0.8782887255510679
1760,96.6,-0.2393156642875586,0.9709418174260518,1.0782523148148149,36,8,3,325.95984256432047,29460.69756423676,0.7427779513989257,0.0045774981442603,269.5139590219195,-3.0364159715326924,1.8752576991236711,1.4833333333333334,1.948611111111111,97.7571004993758,2.4259201882267454,21.08888888888889,0.0013888888888888,65.6995193540401,0.0,0.0,0,25.878055555555555,0.0,24,0.0,81.15408617974762,8.903997539277952e-09,-0.9828258123132909
